Edition,Footnote,Type,Designation,,,,,,,A ,d,tw,tw/2,bf,tf,T,k,k1,W,bf/2tf,h/tw,Fy''',X1,X2x106,Ix,Zx,Sx,rx,y,yp,Iy,Zy,Sy,ry,x,xp,rz,maxf,Grip,eo,Qs36,Qs50,Qs36c,Qs50c,Qs36s,Qs50s,Astem,tan(?),twstem,twstem/2,OD,ID,twall,J,t,Iy',Sy',ry',sched,Anet36,d1A36,IxA36,SxA36,rxA36,y1A36,ryA36,AnetASTM,d1ASTM,IxASTM,SxASTM,rxASTM,y1ASTM,ryASTM,d/t,ry0,ry1_4,ry3_8,ry1_2,ry5_8,ry3_4,d/Af,rT,Fy'',Cw,Fy',Cc50',Cc36',a,Wno,Sw,Sw1,Sw2,Sw3,Qf,Qw,B,b,Ht / t,h/tdes,b/tdes,D/t,Ht,h,tnom,tdes,b / t,C,ro,H,ddet,bfdet,twdet,twdet/2,tfdet,kdes,kdet,B/t,Sz,Qs,Iz,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB
14th,–,MC,MC10X8.4,–,–,–,–,–,–,2.46,10,0.17,–,1.5,0.28,–,–,–,8.4,–,52.6,–,–,–,31.9,7.92,6.39,3.61,–,–,0.326,0.548,0.268,0.364,0.284,0.123,–,–,–,0.332,–,–,–,–,–,–,–,–,–,–,–,–,–,0.0413,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7,–,–,–,–,4.85,–,0.678,0.559,0.278,1.81,3.93,–,–,–,–,–,–,–,–,–,–,5.36,–,3.68,0.972,10,1  1/2 ,  3/16,  1/8 ,  1/4 ,0.75,  3/4 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.486,9.72,–,–
14th,–,MC,MC10X6.5,–,–,–,–,–,–,1.95,10,0.152,–,1.17,0.202,–,–,–,6.5,–,59.8,–,–,–,22.9,5.9,4.59,3.43,–,–,0.133,0.284,0.137,0.262,0.194,0.0975,–,–,–,0.182,–,–,–,–,–,–,–,–,–,–,–,–,–,0.0191,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.76,–,–,–,–,4.1,–,0.346,0.313,0.158,1.01,2.91,–,–,–,–,–,–,–,–,–,–,5.79,–,3.46,0.988,10,1  1/8 ,  1/8 ,  1/16,  3/16,0.563,  9/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.363,9.8,–,–
14th,–,MC,MC9X25.4,–,–,–,–,–,–,7.47,9,0.45,–,3.5,0.55,–,–,–,25.4,–,15.1,–,–,–,87.9,23.5,19.5,3.43,–,–,7.57,5.7,2.99,1.01,0.97,0.415,–,–,–,0.986,–,–,–,–,–,–,–,–,–,–,–,–,–,0.691,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,104,–,–,–,–,8.72,–,4.95,3.25,1.61,7.09,11.6,–,–,–,–,–,–,–,–,–,–,6.36,–,4.08,0.77,9,3  1/2 ,  7/16,  1/4 ,  9/16,1.25,1  1/4 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.2,8.45,–,–
14th,–,MC,MC9X23.9,–,–,–,–,–,–,7.02,9,0.4,–,3.45,0.55,–,–,–,23.9,–,17,–,–,–,84.9,22.5,18.9,3.48,–,–,7.14,5.51,2.89,1.01,0.981,0.39,–,–,–,1.04,–,–,–,–,–,–,–,–,–,–,–,–,–,0.599,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,98,–,–,–,–,8.49,–,4.69,2.91,1.52,7.09,11.1,–,–,–,–,–,–,–,–,–,–,6.27,–,4.15,0.763,9,3  1/2 ,  3/8 ,  3/16,  9/16,1.25,1  1/4 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.18,8.45,–,–
14th,–,MC,MC8X22.8,–,–,–,–,–,–,6.7,8,0.427,–,3.5,0.525,–,–,–,22.8,–,13.8,–,–,–,63.8,19.1,15.9,3.09,–,–,7.01,5.37,2.81,1.02,1.01,0.419,–,–,–,1.04,–,–,–,–,–,–,–,–,–,–,–,–,–,0.572,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,75.2,–,–,–,–,7.6,–,4.06,2.52,1.22,6.03,9.45,–,–,–,–,–,–,–,–,–,–,6.67,–,3.84,0.715,8,3  1/2 ,  7/16,  1/4 ,  1/2 ,1.19,1  3/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.2,7.48,–,–
14th,–,MC,MC8X21.4,–,–,–,–,–,–,6.28,8,0.375,–,3.45,0.525,–,–,–,21.4,–,15.7,–,–,–,61.5,18.2,15.4,3.13,–,–,6.58,5.18,2.71,1.02,1.02,0.452,–,–,–,1.09,–,–,–,–,–,–,–,–,–,–,–,–,–,0.495,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,70.8,–,–,–,–,7.42,–,3.87,2.27,1.08,6.03,9.03,–,–,–,–,–,–,–,–,–,–,6.57,–,3.91,0.707,8,3  1/2 ,  3/8 ,  3/16,  1/2 ,1.19,1  3/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.18,7.48,–,–
14th,–,MC,MC8X20,–,–,–,–,–,–,5.87,8,0.4,–,3.03,0.5,–,–,–,20,–,15,–,–,–,54.4,16.4,13.6,3.04,–,–,4.42,3.86,2.02,0.867,0.84,0.367,–,–,–,0.843,–,–,–,–,–,–,–,–,–,–,–,–,–,0.441,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,47.8,–,–,–,–,6.7,–,2.99,1.97,0.963,4.93,8.13,–,–,–,–,–,–,–,–,–,–,6.06,–,3.58,0.779,8,3,  3/8 ,  3/16,  1/2 ,1.13,1  1/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.03,7.5,–,–
14th,–,MC,MC8X18.7,–,–,–,–,–,–,5.5,8,0.353,–,2.98,0.5,–,–,–,18.7,–,17,–,–,–,52.4,15.6,13.1,3.09,–,–,4.15,3.72,1.95,0.868,0.849,0.344,–,–,–,0.889,–,–,–,–,–,–,–,–,–,–,–,–,–,0.38,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,45,–,–,–,–,6.52,–,2.83,1.77,0.875,4.93,7.75,–,–,–,–,–,–,–,–,–,–,5.96,–,3.65,0.773,8,3,  3/8 ,  3/16,  1/2 ,1.13,1  1/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.02,7.5,–,–
14th,–,MC,MC8X8.5,–,–,–,–,–,–,2.5,8,0.179,–,1.87,0.311,–,–,–,8.5,–,38.4,–,–,–,23.3,6.95,5.82,3.05,–,–,0.624,0.875,0.431,0.5,0.428,0.156,–,–,–,0.542,–,–,–,–,–,–,–,–,–,–,–,–,–,0.0587,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8.21,–,–,–,–,4.42,–,0.789,0.551,0.285,2.02,3.45,–,–,–,–,–,–,–,–,–,–,6.01,–,3.24,0.91,8,1  7/8 ,  3/16,  1/8 ,  5/16,0.813, 13/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.624,7.69,–,–
14th,–,MC,MC7X22.7,–,–,–,–,–,–,6.67,7,0.503,–,3.6,0.5,–,–,–,22.7,–,9.94,–,–,–,47.4,16.4,13.5,2.67,–,–,7.24,5.38,2.83,1.04,1.04,0.477,–,–,–,1.01,–,–,–,–,–,–,–,–,–,–,–,–,–,0.625,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,58.3,–,–,–,–,6.78,–,3.54,2.25,1.1,5.03,8.11,–,–,–,–,–,–,–,–,–,–,7.2,–,3.53,0.659,7,3  5/8 ,  1/2 ,  1/4 ,  1/2 ,1.13,1  1/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.23,6.5,–,–
14th,–,MC,MC7X19.1,–,–,–,–,–,–,5.61,7,0.352,–,3.45,0.5,–,–,–,19.1,–,14.2,–,–,–,43.1,14.5,12.3,2.77,–,–,6.06,4.85,2.55,1.04,1.08,0.579,–,–,–,1.15,–,–,–,–,–,–,–,–,–,–,–,–,–,0.407,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,49.3,–,–,–,–,6.33,–,3.08,1.65,0.815,5.03,7.19,–,–,–,–,–,–,–,–,–,–,6.9,–,3.7,0.638,7,3  1/2 ,  3/8 ,  3/16,  1/2 ,1.13,1  1/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.19,6.5,–,–
14th,–,MC,MC6X18,–,–,–,–,–,–,5.29,6,0.379,–,3.5,0.475,–,–,–,18,–,10.8,–,–,–,29.7,11.7,9.89,2.37,–,–,5.88,4.68,2.47,1.05,1.12,0.644,–,–,–,1.17,–,–,–,–,–,–,–,–,–,–,–,–,–,0.379,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,34.6,–,–,–,–,5.39,–,2.5,1.28,0.682,4.1,5.8,–,–,–,–,–,–,–,–,–,–,7.37,–,3.46,0.563,6,3  1/2 ,  3/8 ,  3/16,  1/2 ,1.06,1  1/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.2,5.53,–,–
14th,–,MC,MC6X15.3,–,–,–,–,–,–,4.49,6,0.34,–,3.5,0.385,–,–,–,15.3,–,13.1,–,–,–,25.3,9.91,8.44,2.38,–,–,4.91,3.85,2.01,1.05,1.05,0.511,–,–,–,1.16,–,–,–,–,–,–,–,–,–,–,–,–,–,0.223,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,30,–,–,–,–,5.62,–,2.16,1.21,0.575,3.42,4.95,–,–,–,–,–,–,–,–,–,–,9.09,–,3.41,0.579,6,3  1/2 ,  5/16,  3/16,  3/8 ,0.875,  7/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.2,5.62,–,–
14th,–,MC,MC6X16.3,–,–,–,–,–,–,4.79,6,0.375,–,3,0.475,–,–,–,16.3,–,10.9,–,–,–,26,10.4,8.66,2.33,–,–,3.77,3.47,1.82,0.887,0.927,0.465,–,–,–,0.93,–,–,–,–,–,–,–,–,–,–,–,–,–,0.336,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,22.1,–,–,–,–,4.68,–,1.88,1.06,0.536,3.44,5.13,–,–,–,–,–,–,–,–,–,–,6.32,–,3.11,0.643,6,3,  3/8 ,  3/16,  1/2 ,1.06,1  1/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.03,5.53,–,–
14th,–,MC,MC6X15.1,–,–,–,–,–,–,4.44,6,0.316,–,2.94,0.475,–,–,–,15.1,–,12.9,–,–,–,24.9,9.83,8.3,2.37,–,–,3.46,3.3,1.73,0.883,0.94,0.543,–,–,–,0.982,–,–,–,–,–,–,–,–,–,–,–,–,–,0.285,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,20.5,–,–,–,–,4.54,–,1.77,0.915,0.457,3.44,4.87,–,–,–,–,–,–,–,–,–,–,6.19,–,3.18,0.634,6,3,  5/16,  3/16,  1/2 ,1.06,1  1/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.01,5.53,–,–
14th,–,MC,MC6X12,–,–,–,–,–,–,3.53,6,0.31,–,2.5,0.375,–,–,–,12,–,14.5,–,–,–,18.7,7.47,6.24,2.3,–,–,1.85,1.97,1.03,0.724,0.704,0.294,–,–,–,0.725,–,–,–,–,–,–,–,–,–,–,–,–,–,0.155,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,11.3,–,–,–,–,4.12,–,1.13,0.723,0.354,2.31,3.7,–,–,–,–,–,–,–,–,–,–,6.67,–,2.8,0.74,6,2  1/2 ,  5/16,  3/16,  3/8 ,0.875,  7/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.856,5.63,–,–
14th,–,MC,MC6X7,–,–,–,–,–,–,2.09,6,0.179,–,1.88,0.291,–,–,–,7,–,26,–,–,–,11.4,4.5,3.81,2.34,–,–,0.603,0.865,0.439,0.537,0.501,0.174,–,–,–,0.583,–,–,–,–,–,–,–,–,–,–,–,–,–,0.0464,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,3.19,–,0.519,0.331,0.16,1.41,2.22,–,–,–,–,–,–,–,–,–,–,6.46,–,2.63,0.83,6,1  7/8 ,  3/16,  1/8 ,  5/16,0.75,  3/4 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.638,5.71,–,–
14th,–,MC,MC6X6.5,–,–,–,–,–,–,1.95,6,0.155,–,1.85,0.291,–,–,–,6.5,–,30.1,–,–,–,11,4.28,3.66,2.38,–,–,0.565,0.836,0.422,0.539,0.513,0.191,–,–,–,0.612,–,–,–,–,–,–,–,–,–,–,–,–,–,0.0412,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.75,–,–,–,–,3.09,–,0.487,0.29,0.146,1.41,2.11,–,–,–,–,–,–,–,–,–,–,6.36,–,2.68,0.824,6,1  7/8 ,  1/8 ,  1/16,  5/16,0.75,  3/4 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.631,5.71,–,–
14th,–,MC,MC4X13.8,–,–,–,–,–,–,4.03,4,0.5,–,2.5,0.5,–,–,–,13.8,–,4.48,–,–,–,8.85,5.53,4.43,1.48,–,–,2.13,2.4,1.29,0.727,0.849,0.508,–,–,–,0.643,–,–,–,–,–,–,–,–,–,–,–,–,–,0.373,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.84,–,–,–,–,2.37,–,0.806,0.457,0.227,1.75,2.75,–,–,–,–,–,–,–,–,–,–,5,–,2.23,0.55,4,2  1/2 ,  1/2 ,  1/4 ,  1/2 ,1,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.851,3.5,–,–
14th,–,MC,MC3X7.1,–,–,–,–,–,–,2.11,3,0.312,–,1.94,0.351,–,–,–,7.1,–,4.93,–,–,–,2.72,2.24,1.81,1.14,–,–,0.666,0.998,0.518,0.562,0.653,0.414,–,–,–,0.574,–,–,–,–,–,–,–,–,–,–,–,–,–,0.0928,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.915,–,–,–,–,1.4,–,0.258,0.134,0.0659,0.757,1.11,–,–,–,–,–,–,–,–,–,–,5.53,–,1.76,0.516,3,2,  5/16,  3/16,  3/8 ,0.813, 13/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.657,2.65,–,–
14th,–,L,L8X8X1-1/8,–,–,–,–,–,–,16.8,8,–,–,–,–,–,–,–,56.9,–,–,–,–,–,98.1,31.6,17.5,2.41,2.4,1.05,98.1,31.6,17.5,2.41,2.4,1.05,1.56,–,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,7.13,1.13,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,32.5,–,–,–,–,–,–,–,–,–,–,–,–,8,–,–,–,–,–,–,–,–,7.08,–,4.29,0.63,–,–,–,–,–,1.75,1  3/4 ,–,12,1,40.7,155,5.26,0,5.26,2.66,3.39,2.66,29.5,–,29.5,15.3,12,15.3,–,–,–,–
14th,–,L,L8X8X1,–,–,–,–,–,–,15.1,8,–,–,–,–,–,–,–,51,–,–,–,–,–,89.1,28.5,15.8,2.43,2.36,0.944,89.1,28.5,15.8,2.43,2.36,0.944,1.56,–,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,5.08,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,23.4,–,–,–,–,–,–,–,–,–,–,–,–,8,–,–,–,–,–,–,–,–,8,–,4.32,0.63,–,–,–,–,–,1.63,1  5/8 ,–,11,1,36.8,141,5.3,0,5.3,2.67,3.34,2.67,26.6,–,26.6,13.8,11,13.8,–,–,–,–
14th,–,L,L8X8X7/8,–,–,–,–,–,–,13.3,8,–,–,–,–,–,–,–,45,–,–,–,–,–,79.7,25.3,14,2.45,2.31,0.831,79.7,25.3,14,2.45,2.31,0.831,1.57,–,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,3.46,0.875,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,16.1,–,–,–,–,–,–,–,–,–,–,–,–,8,–,–,–,–,–,–,–,–,9.14,–,4.36,0.63,–,–,–,–,–,1.5,1  1/2 ,–,10,1,32.7,127,5.35,0,5.35,2.7,3.27,2.7,23.8,–,23.7,12.1,10,12.1,–,–,–,–
14th,–,L,L8X8X3/4,–,–,–,–,–,–,11.5,8,–,–,–,–,–,–,–,38.9,–,–,–,–,–,69.9,22,12.2,2.46,2.26,0.719,69.9,22,12.2,2.46,2.26,0.719,1.57,–,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,2.21,0.75,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,10.4,–,–,–,–,–,–,–,–,–,–,–,–,8,–,–,–,–,–,–,–,–,10.7,–,4.39,0.63,–,–,–,–,–,1.38,1  3/8 ,–,8.9,1,28.5,111,5.39,0,5.39,2.73,3.2,2.73,20.6,–,20.6,10.4,8.92,10.5,–,–,–,–
14th,–,L,L8X8X5/8,–,–,–,–,–,–,9.69,8,–,–,–,–,–,–,–,32.7,–,–,–,–,–,59.6,18.6,10.3,2.48,2.21,0.606,59.6,18.6,10.3,2.48,2.21,0.606,1.58,–,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,1.3,0.625,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.16,–,–,–,–,–,–,–,–,–,–,–,–,8,–,–,–,–,–,–,–,–,12.8,–,4.42,0.63,–,–,–,–,–,1.25,1  1/4 ,–,7.72,0.997,24.2,95,5.44,0,5.44,2.75,3.13,2.75,17.5,–,17.5,8.79,7.74,8.8,–,–,–,–
14th,–,L,L8X8X9/16,–,–,–,–,–,–,8.77,8,–,–,–,–,–,–,–,29.6,–,–,–,–,–,54.2,16.8,9.33,2.49,2.19,0.548,54.2,16.8,9.33,2.49,2.19,0.548,1.58,–,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,0.961,0.563,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.55,–,–,–,–,–,–,–,–,–,–,–,–,8,–,–,–,–,–,–,–,–,14.2,–,4.43,0.63,–,–,–,–,–,1.19,1  3/16,–,7.09,0.959,21.9,86.4,5.46,0,5.46,2.76,3.1,2.76,15.8,–,15.8,7.93,7.07,7.94,–,–,–,–
14th,–,L,L8X8X1/2,–,–,–,–,–,–,7.84,8,–,–,–,–,–,–,–,26.4,–,–,–,–,–,48.8,15.1,8.36,2.49,2.17,0.49,48.8,15.1,8.36,2.49,2.17,0.49,1.59,–,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,0.683,0.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.23,–,–,–,–,–,–,–,–,–,–,–,–,8,–,–,–,–,–,–,–,–,16,–,4.45,0.63,–,–,–,–,–,1.13,1  1/8 ,–,6.44,0.912,19.8,77.9,5.48,0,5.48,2.76,3.07,2.76,14.2,–,14.2,7.16,6.45,7.17,–,–,–,–
14th,–,L,L8X6X1,–,–,–,–,–,–,13.1,6,–,–,–,–,–,–,–,44.2,–,–,–,–,–,80.9,27.3,15.1,2.49,2.65,1.45,38.8,16.2,8.92,1.72,1.65,0.819,1.28,–,–,–,–,–,–,–,–,–,–,0.542,–,–,–,–,–,4.34,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,16.3,–,–,–,–,–,–,–,–,–,–,–,–,8,–,–,–,–,–,–,–,–,8,–,3.88,–,–,–,–,–,–,1.5,1  1/2 ,–,7.6,1,21.3,98.4,3.96,1.54,5.25,2.8,2.71,1.54,24.8,63.8,18.7,7.61,7.85,13.8,–,–,–,–
14th,–,L,L8X6X7/8,–,–,–,–,–,–,11.5,6,–,–,–,–,–,–,–,39.1,–,–,–,–,–,72.4,24.3,13.4,2.5,2.6,1.43,34.9,14.4,7.94,1.74,1.6,0.719,1.28,–,–,–,–,–,–,–,–,–,–,0.546,–,–,–,–,–,2.96,0.875,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,11.3,–,–,–,–,–,–,–,–,–,–,–,–,8,–,–,–,–,–,–,–,–,9.14,–,3.92,–,–,–,–,–,–,1.38,1  3/8 ,–,6.71,1,18.9,88.4,4.01,1.51,5.3,2.82,2.65,1.57,22.1,58.4,16.7,6.69,7.13,12,–,–,–,–
14th,–,L,L8X6X3/4,–,–,–,–,–,–,9.99,6,–,–,–,–,–,–,–,33.8,–,–,–,–,–,63.5,21.1,11.7,2.52,2.55,1.34,30.8,12.5,6.92,1.75,1.56,0.624,1.29,–,–,–,–,–,–,–,–,–,–,0.55,–,–,–,–,–,1.9,0.75,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.28,–,–,–,–,–,–,–,–,–,–,–,–,8,–,–,–,–,–,–,–,–,10.7,–,3.95,–,–,–,–,–,–,1.25,1  1/4 ,–,5.82,1,16.6,77.8,4.05,1.48,5.35,2.84,2.6,1.59,19.2,52.5,14.6,5.84,6.39,10.4,–,–,–,–
14th,–,L,L8X6X5/8,–,–,–,–,–,–,8.41,6,–,–,–,–,–,–,–,28.5,–,–,–,–,–,54.2,17.9,9.86,2.54,2.5,1.27,26.4,10.5,5.88,1.77,1.51,0.526,1.29,–,–,–,–,–,–,–,–,–,–,0.554,–,–,–,–,–,1.12,0.625,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.33,–,–,–,–,–,–,–,–,–,–,–,–,8,–,–,–,–,–,–,–,–,12.8,–,3.98,–,–,–,–,–,–,1.13,1  1/8 ,–,4.91,0.997,14.1,66.5,4.09,1.45,5.39,2.87,2.53,1.62,16.3,45.7,12.3,4.92,5.57,8.71,–,–,–,–
14th,–,L,L8X6X9/16,–,–,–,–,–,–,7.61,6,–,–,–,–,–,–,–,25.7,–,–,–,–,–,49.4,16.2,8.94,2.55,2.48,1.24,24.1,9.52,5.34,1.78,1.49,0.476,1.3,–,–,–,–,–,–,–,–,–,–,0.556,–,–,–,–,–,0.823,0.563,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.2,–,–,–,–,–,–,–,–,–,–,–,–,8,–,–,–,–,–,–,–,–,14.2,–,3.99,–,–,–,–,–,–,1.06,1  1/16,–,4.45,0.959,12.8,60.7,4.11,1.44,5.41,2.87,2.51,1.62,14.8,42,11.2,4.45,5.11,7.88,–,–,–,–
14th,–,L,L8X6X1/2,–,–,–,–,–,–,6.8,6,–,–,–,–,–,–,–,23,–,–,–,–,–,44.4,14.6,8.01,2.55,2.46,1.2,21.7,8.52,4.79,1.79,1.46,0.425,1.3,–,–,–,–,–,–,–,–,–,–,0.557,–,–,–,–,–,0.584,0.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.28,–,–,–,–,–,–,–,–,–,–,–,–,8,–,–,–,–,–,–,–,–,16,–,4.01,–,–,–,–,–,–,1,1,–,3.98,0.912,11.5,54.6,4.14,1.44,5.43,2.89,2.47,1.64,13.2,37.9,10.1,3.98,4.65,7.02,–,–,–,–
14th,–,L,L8X6X7/16,–,–,–,–,–,–,5.99,6,–,–,–,–,–,–,–,20.2,–,–,–,–,–,39.3,12.9,7.06,2.56,2.43,1.15,19.3,7.5,4.23,1.8,1.44,0.374,1.31,–,–,–,–,–,–,–,–,–,–,0.559,–,–,–,–,–,0.396,0.438,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.55,–,–,–,–,–,–,–,–,–,–,–,–,8,–,–,–,–,–,–,–,–,18.3,–,4.02,–,–,–,–,–,–,0.938, 15/16,–,3.51,0.85,10.2,48.4,4.16,1.42,5.46,2.9,2.44,1.65,11.6,34.1,8.87,3.52,4.18,6.17,–,–,–,–
14th,–,L,L8X4X1,–,–,–,–,–,–,11.1,4,–,–,–,–,–,–,–,37.4,–,–,–,–,–,69.7,24.3,14,2.51,3.03,2.45,11.6,7.73,3.94,1.03,1.04,0.694,0.844,–,–,–,–,–,–,–,–,–,–,0.247,–,–,–,–,–,3.68,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,12.9,–,–,–,–,–,–,–,–,–,–,–,–,8,–,–,–,–,–,–,–,–,8,–,3.75,–,–,–,–,–,–,1.5,1  1/2 ,–,3.48,1,7.83,73.4,3.17,2.69,4.95,2.27,1.74,0.667,23.2,27.3,14.8,3.45,4.51,11.7,–,–,–,–
14th,–,L,L8X4X7/8,–,–,–,–,–,–,9.79,4,–,–,–,–,–,–,–,33.1,–,–,–,–,–,62.6,21.7,12.5,2.53,2.99,2.41,10.5,6.77,3.51,1.04,0.997,0.612,0.846,–,–,–,–,–,–,–,–,–,–,0.252,–,–,–,–,–,2.51,0.875,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8.89,–,–,–,–,–,–,–,–,–,–,–,–,8,–,–,–,–,–,–,–,–,9.14,–,3.78,–,–,–,–,–,–,1.38,1  3/8 ,–,3.06,1,6.97,66.1,3.21,2.66,4.99,2.29,1.7,0.681,20.6,24.9,13.2,3.05,4.11,10.2,–,–,–,–
14th,–,L,L8X4X3/4,–,–,–,–,–,–,8.49,4,–,–,–,–,–,–,–,28.7,–,–,–,–,–,55,18.9,10.9,2.55,2.94,2.34,9.37,5.82,3.07,1.05,0.949,0.531,0.85,–,–,–,–,–,–,–,–,–,–,0.257,–,–,–,–,–,1.61,0.75,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.75,–,–,–,–,–,–,–,–,–,–,–,–,8,–,–,–,–,–,–,–,–,10.7,–,3.8,–,–,–,–,–,–,1.25,1  1/4 ,–,2.65,1,6.14,58.2,3.24,2.61,5.04,2.32,1.65,0.704,17.9,22.3,11.5,2.65,3.72,8.7,–,–,–,–
